SEQUENCE ID;PFAM;GBA_AA;GBA_AB;GBA_AC;GBA_AD;GBA_AE;GBA_AF;GBA_AG;GBA_AH;GBA_AI
gba_locus_17546_iso_1_len_1098_ver_2;not hit found;4,72;5,04;4,79;4,38;4,73;3,54;3,77;4,84;3,63
gba_locus_17547_iso_1_len_915_ver_2;not hit found;-0,70;-0,10;-0,71;0,46;2,58;0,00;0,00;0,00;0,27
gba_locus_17549_iso_1_len_1442_ver_2;PF00069.18;3,26;1,48;2,60;0,99;2,61;0,00;0,00;1,59;-1,18
gba_locus_1754_iso_1_len_2395_ver_2;PF00155.14;4,74;4,89;4,69;4,73;4,68;4,50;4,72;5,07;3,62
gba_locus_17551_iso_1_len_1712_ver_2;PF00294.17;3,43;2,81;2,92;2,71;3,07;0,52;1,20;3,44;4,72
gba_locus_17552_iso_1_len_2098_ver_2;PF06745.6;2,99;3,49;3,25;3,03;3,07;2,94;3,18;3,79;3,59
gba_locus_17553_iso_3_len_1137_ver_2;PF00085.13;4,73;5,22;4,94;4,73;4,28;5,32;5,18;4,12;4,41
gba_locus_17554_iso_1_len_2435_ver_2;PF01501.13;4,90;4,10;4,04;7,27;5,92;2,36;0,64;4,57;3,73
gba_locus_17555_iso_1_len_293_ver_2;not hit found;2,06;1,44;0,00;2,97;1,98;0,00;0,00;0,00;0,00
gba_locus_17557_iso_1_len_301_ver_2;not hit found;0,00;0,00;1,15;0,00;0,00;1,31;1,59;2,20;0,00
gba_locus_17558_iso_1_len_348_ver_2;PF00078.20;2,41;0,90;2,61;1,29;4,50;2,11;2,19;2,48;0,00
gba_locus_1755_iso_4_len_1995_ver_2;not hit found;4,71;5,81;4,91;4,39;4,49;6,07;5,61;4,19;5,58
gba_locus_17560_iso_1_len_391_ver_2;not hit found;0,00;0,00;0,97;0,00;0,00;0,00;0,00;0,00;0,00
gba_locus_17562_iso_2_len_384_ver_2;not hit found;0,98;1,08;1,05;0,00;0,00;0,33;1,37;1,75;1,11
gba_locus_17563_iso_1_len_1563_ver_2;PF07059.5;3,78;4,11;3,85;6,72;6,29;2,23;1,35;4,59;3,64
gba_locus_17565_iso_1_len_1838_ver_2;not hit found;2,72;4,55;3,51;2,76;3,81;2,72;1,45;3,41;4,06
gba_locus_17566_iso_1_len_732_ver_2;not hit found;2,90;3,38;3,22;1,46;2,17;1,78;1,26;1,11;3,23
gba_locus_17567_iso_1_len_2612_ver_2;PF00150.11;3,53;1,60;4,34;0,92;2,46;0,95;2,34;2,49;-0,98
gba_locus_17568_iso_2_len_1208_ver_2;not hit found;1,90;3,45;2,67;-0,96;1,42;2,70;1,91;-0,49;1,74
gba_locus_17569_iso_2_len_992_ver_2;not hit found;4,54;4,35;4,61;4,00;3,55;3,22;3,34;3,13;4,31
gba_locus_1756_iso_9_len_1761_ver_2;PF01370.14;6,75;6,34;7,20;7,09;6,97;7,92;7,67;6,39;6,21
gba_locus_17570_iso_1_len_859_ver_2;not hit found;3,35;2,77;2,90;2,34;2,65;1,74;1,94;2,26;3,11
gba_locus_17571_iso_2_len_2655_ver_2;not hit found;2,21;3,29;2,71;1,77;2,19;2,15;2,62;3,28;2,34
gba_locus_17572_iso_1_len_3495_ver_2;PF00642.17;2,94;3,37;3,41;2,32;3,33;2,76;2,97;4,05;4,32
gba_locus_17573_iso_1_len_378_ver_2;not hit found;1,44;0,77;0,65;0,00;0,00;1,18;1,23;0,96;0,86
gba_locus_17574_iso_1_len_1775_ver_2;PF00450.15;2,59;4,37;3,65;0,94;3,30;2,80;2,19;2,56;-0,28
gba_locus_17575_iso_1_len_375_ver_2;not hit found;0,00;0,00;1,34;0,00;0,00;0,00;0,00;0,71;0,00
gba_locus_17576_iso_2_len_1005_ver_2;PF00560.26;0,74;1,62;1,38;1,18;3,73;2,75;1,75;0,12;1,13
gba_locus_17577_iso_1_len_1341_ver_2;not hit found;3,00;3,54;3,73;3,33;4,31;2,85;2,61;2,88;2,30
gba_locus_17578_iso_1_len_1392_ver_2;PF07727.7;1,87;-0,36;2,41;0,83;4,40;0,96;1,02;2,05;-0,86
gba_locus_17579_iso_1_len_1296_ver_2;PF12143.1;4,20;1,25;2,98;7,51;5,69;2,65;1,95;4,53;3,72
gba_locus_1757_iso_1_len_3163_ver_2;PF05691.5;2,15;2,08;1,17;0,56;1,73;5,46;5,11;-0,11;-0,48
gba_locus_17580_iso_1_len_1092_ver_2;not hit found;-1,11;0,00;1,17;0,00;0,61;0,25;0,97;0,79;0,77
gba_locus_17582_iso_2_len_539_ver_2;not hit found;2,87;0,48;3,40;1,75;5,67;2,53;3,09;3,29;1,07
gba_locus_17584_iso_1_len_2624_ver_2;not hit found;1,69;0,26;1,79;1,32;3,02;0,21;0,77;3,32;-0,62
gba_locus_17585_iso_2_len_355_ver_2;not hit found;4,01;0,00;0,89;5,39;5,20;4,32;6,49;7,58;1,54
gba_locus_17588_iso_2_len_358_ver_2;not hit found;4,71;5,45;5,63;3,82;5,13;5,19;4,40;5,07;3,73
gba_locus_1758_iso_1_len_2199_ver_2;not hit found;3,64;2,37;2,32;0,99;1,74;5,51;5,39;1,64;2,56
gba_locus_17591_iso_4_len_1407_ver_2;PF01764.18;4,06;3,10;3,90;2,90;3,29;3,45;3,40;3,93;4,38
gba_locus_17592_iso_1_len_667_ver_2;not hit found;3,58;2,40;4,29;2,47;3,60;2,69;3,36;2,40;2,08
gba_locus_17593_iso_3_len_1215_ver_2;not hit found;4,20;2,53;3,54;5,05;5,89;0,95;-0,90;2,15;2,60
gba_locus_17594_iso_1_len_1420_ver_2;PF08513.4;2,68;3,10;3,04;2,43;2,45;2,36;2,99;2,15;3,71
gba_locus_17595_iso_1_len_468_ver_2;not hit found;0,00;0,43;1,52;0,00;1,56;0,00;0,00;0,00;0,00
gba_locus_17596_iso_1_len_394_ver_2;not hit found;2,34;0,97;3,93;2,75;2,50;1,32;1,88;1,48;3,08
gba_locus_17597_iso_2_len_1154_ver_2;not hit found;-0,92;1,14;1,71;1,51;3,57;0,00;-0,96;0,06;-0,26
gba_locus_17598_iso_1_len_2337_ver_2;PF02365.8;1,69;0,26;2,44;1,44;1,84;2,59;3,08;1,76;1,42
gba_locus_17599_iso_1_len_1194_ver_2;PF03226.7;4,25;4,38;4,67;3,83;3,95;3,39;3,47;3,32;3,39
gba_locus_1759_iso_1_len_2838_ver_2;PF03909.10;3,47;3,42;3,65;2,72;3,84;3,11;3,35;3,17;2,85
gba_locus_175_iso_1_len_2700_ver_2;PF11957.1;3,84;4,27;4,06;3,48;3,88;3,92;3,85;4,54;5,04
gba_locus_17600_iso_1_len_3092_ver_2;not hit found;3,98;2,77;3,65;3,10;3,75;2,43;1,85;3,97;2,13
gba_locus_17601_iso_3_len_366_ver_2;PF01535.13;0,70;0,79;1,21;0,94;0,99;1,21;2,02;1,93;2,42
gba_locus_17602_iso_1_len_2329_ver_2;PF04788.5;3,57;4,07;3,68;4,74;3,74;2,17;2,14;4,55;1,14
gba_locus_17603_iso_1_len_613_ver_2;not hit found;2,85;2,74;2,41;2,62;3,28;3,33;4,42;3,35;1,64
gba_locus_17605_iso_1_len_372_ver_2;not hit found;8,06;8,01;8,12;7,61;7,03;6,02;6,32;9,12;7,53
gba_locus_17607_iso_4_len_293_ver_2;not hit found;1,45;2,83;2,72;2,05;2,75;2,99;3,40;2,84;2,95
gba_locus_17608_iso_1_len_598_ver_2;not hit found;0,48;0,06;1,52;-0,04;0,59;0,00;0,00;-0,02;0,28
gba_locus_17609_iso_1_len_2175_ver_2;PF06144.6;1,80;1,40;1,55;0,82;1,96;-0,40;-0,41;1,78;-0,58
gba_locus_1760_iso_9_len_1631_ver_2;PF00069.18;4,92;6,39;5,83;5,46;5,23;6,90;6,75;5,24;1,18
gba_locus_17610_iso_1_len_1426_ver_2;PF08399.4;0,46;2,90;2,62;2,19;2,95;-0,07;-0,43;0,05;-0,90
gba_locus_17612_iso_1_len_543_ver_2;not hit found;1,24;0,00;0,76;2,72;3,66;0,00;0,00;1,85;0,00
gba_locus_17613_iso_1_len_2686_ver_2;PF00005.20;3,65;4,98;5,35;4,02;6,02;1,09;2,14;0,83;0,32
gba_locus_17614_iso_1_len_1444_ver_2;PF03171.13;3,89;2,07;4,43;3,27;3,06;1,83;1,39;2,97;1,29
gba_locus_17615_iso_3_len_1182_ver_2;PF02453.10;3,05;3,27;3,78;1,80;2,44;3,54;3,71;2,74;2,04
gba_locus_17616_iso_1_len_835_ver_2;not hit found;1,73;0,55;1,69;0,46;3,65;1,39;1,52;1,89;1,02
gba_locus_17617_iso_1_len_1437_ver_2;PF01535.13;0,78;1,51;2,57;0,57;2,00;0,95;1,15;1,63;1,21
gba_locus_17619_iso_2_len_829_ver_2;PF01535.13;0,96;0,95;1,57;0,52;1,46;3,05;3,24;1,37;1,65
gba_locus_1761_iso_5_len_1997_ver_2;PF01435.11;6,34;6,56;6,19;6,11;6,05;5,36;5,66;5,92;5,95
gba_locus_17620_iso_1_len_2198_ver_2;not hit found;1,67;1,00;1,54;0,40;1,35;-0,17;-0,91;1,13;0,88
gba_locus_17621_iso_1_len_2811_ver_2;PF00520.24;3,00;1,82;1,84;2,06;2,06;3,33;3,34;1,68;3,14
gba_locus_17624_iso_1_len_1352_ver_2;not hit found;3,06;3,54;3,83;2,72;2,93;2,23;2,04;1,84;2,33
gba_locus_17625_iso_2_len_635_ver_2;not hit found;0,56;1,99;2,26;2,14;1,78;1,86;2,81;1,78;1,68
gba_locus_17627_iso_1_len_1360_ver_2;not hit found;2,02;1,17;-0,53;1,24;0,00;1,75;0,86;0,00;0,50
gba_locus_17628_iso_1_len_429_ver_2;not hit found;1,08;0,00;0,59;0,00;1,11;0,00;0,00;0,63;0,00
gba_locus_17629_iso_2_len_2590_ver_2;PF03790.6;2,63;4,22;4,10;4,11;3,87;-0,24;-1,30;1,09;1,76
gba_locus_1762_iso_1_len_3408_ver_2;not hit found;2,84;3,30;3,09;2,26;3,25;2,98;3,03;2,34;3,03
gba_locus_17632_iso_1_len_531_ver_2;PF01535.13;0,00;0,00;0,50;0,00;0,00;1,20;1,35;0,75;0,00
gba_locus_17633_iso_1_len_387_ver_2;not hit found;3,44;0,93;2,80;0,00;1,70;4,86;5,58;4,13;2,14
gba_locus_17634_iso_1_len_663_ver_2;not hit found;0,72;0,67;0,78;0,07;0,70;1,20;1,19;1,86;0,66
gba_locus_17635_iso_5_len_1184_ver_2;not hit found;-0,38;0,51;0,76;0,00;-0,17;0,91;0,85;0,15;0,25
gba_locus_17636_iso_3_len_4085_ver_2;PF02182.10;3,23;4,36;3,11;4,21;4,12;2,22;2,44;1,66;5,85
gba_locus_17638_iso_1_len_1528_ver_2;PF06694.4;3,77;4,05;3,99;3,63;3,50;3,26;3,03;3,27;4,19
gba_locus_17639_iso_1_len_559_ver_2;not hit found;5,42;4,28;5,33;7,20;6,53;5,52;1,27;3,48;3,05
gba_locus_1763_iso_1_len_538_ver_2;not hit found;3,99;6,28;4,99;5,81;6,20;6,19;2,21;3,51;3,11
gba_locus_17640_iso_2_len_591_ver_2;not hit found;1,87;2,37;2,49;2,13;3,58;1,18;1,79;2,61;1,01
gba_locus_17641_iso_3_len_3666_ver_2;not hit found;2,63;3,04;3,46;2,46;2,66;1,97;2,01;4,70;4,36
gba_locus_17642_iso_2_len_1342_ver_2;not hit found;1,94;1,38;1,51;2,74;4,40;1,41;1,15;2,10;0,10
gba_locus_17643_iso_2_len_1182_ver_2;PF03358.8;2,33;-0,38;0,91;0,37;2,60;1,45;1,81;1,94;2,64
gba_locus_17644_iso_2_len_1627_ver_2;not hit found;3,29;4,21;4,06;3,66;3,31;0,66;0,99;2,56;2,19
gba_locus_17645_iso_1_len_2872_ver_2;not hit found;3,56;3,15;3,37;3,48;3,19;2,61;3,22;3,02;3,06
gba_locus_17646_iso_1_len_335_ver_2;PF01535.13;0,00;0,00;0,00;0,00;0,00;0,00;1,61;1,89;0,00
gba_locus_17647_iso_1_len_1741_ver_2;PF00249.24;0,01;1,11;1,43;-0,50;1,20;0,00;0,32;0,61;3,04
gba_locus_17649_iso_1_len_2455_ver_2;PF00646.26;2,89;3,77;3,63;2,92;3,60;3,61;3,78;3,80;3,65
gba_locus_1764_iso_4_len_1501_ver_2;PF05648.7;6,89;6,85;6,63;6,19;6,15;7,74;7,55;5,56;6,22
gba_locus_17650_iso_1_len_2177_ver_2;PF02362.14;1,70;1,76;1,82;1,14;1,54;1,27;1,42;1,54;2,66
gba_locus_17651_iso_2_len_1315_ver_2;PF02219.10;3,32;2,77;2,89;2,07;2,91;3,07;3,26;2,68;2,93
gba_locus_17653_iso_1_len_1256_ver_2;PF00097.18;2,70;6,62;4,63;0,00;2,58;1,01;-0,95;0,35;-0,12
gba_locus_17654_iso_3_len_1326_ver_2;not hit found;2,08;2,67;3,13;1,85;2,61;0,27;1,46;1,34;4,07
gba_locus_17655_iso_3_len_947_ver_2;PF05057.7;2,56;3,01;3,18;1,67;2,30;1,98;2,10;1,97;2,59
gba_locus_17656_iso_2_len_760_ver_2;PF01250.10;3,97;3,36;4,36;3,51;3,96;3,05;3,75;3,63;3,58
gba_locus_17657_iso_1_len_281_ver_2;not hit found;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,34
gba_locus_17658_iso_1_len_664_ver_2;PF00646.26;2,25;1,22;2,21;1,34;2,24;1,70;2,27;1,96;1,19
gba_locus_1765_iso_5_len_3178_ver_2;PF00076.15;7,13;7,26;6,80;6,19;6,77;6,83;6,62;7,32;7,00
gba_locus_17660_iso_1_len_551_ver_2;not hit found;0,00;0,00;0,65;0,00;1,48;0,48;1,29;0,78;0,00
gba_locus_17661_iso_6_len_2850_ver_2;PF09335.4;3,53;3,71;3,78;3,32;3,20;3,01;2,86;2,89;3,14
gba_locus_17662_iso_2_len_493_ver_2;PF01535.13;0,24;0,69;1,13;0,96;1,03;2,28;2,27;1,20;2,29
gba_locus_17663_iso_2_len_444_ver_2;not hit found;4,46;5,12;4,70;4,87;3,95;4,63;4,56;3,78;5,36
gba_locus_17664_iso_1_len_560_ver_2;not hit found;0,46;0,00;0,78;0,00;0,00;0,80;1,86;0,53;0,62
gba_locus_17665_iso_1_len_2279_ver_2;PF01535.13;1,07;2,39;2,10;0,53;1,86;1,64;2,04;2,45;2,08
gba_locus_17666_iso_1_len_1047_ver_2;PF01625.14;1,83;0,00;0,00;2,19;2,28;2,75;2,74;-0,73;0,78
gba_locus_17667_iso_3_len_2250_ver_2;PF00201.11;3,00;0,00;0,00;-1,75;2,51;0,00;0,00;0,00;5,10
gba_locus_17668_iso_1_len_1495_ver_2;PF01918.14;5,26;5,08;4,36;4,19;4,10;3,78;3,67;3,66;4,72
gba_locus_1766_iso_7_len_2899_ver_2;PF00860.13;5,52;6,20;6,05;5,34;5,69;5,13;5,66;6,38;4,99
gba_locus_17670_iso_2_len_3610_ver_2;PF08263.5;2,58;2,59;0,73;0,42;2,05;0,08;-0,34;0,64;0,46
gba_locus_17672_iso_1_len_2328_ver_2;PF00083.17;1,79;1,23;1,36;0,34;1,53;2,35;1,86;1,31;1,38
gba_locus_17675_iso_1_len_723_ver_2;PF01535.13;-0,49;-0,23;-0,59;-0,06;0,68;0,24;1,27;1,15;-0,30
gba_locus_17676_iso_1_len_1041_ver_2;not hit found;1,37;0,62;-0,64;2,65;2,30;1,89;1,28;0,84;0,03
gba_locus_17678_iso_1_len_327_ver_2;not hit found;0,75;0,00;1,73;0,00;2,30;0,00;0,00;0,00;0,00
gba_locus_1767_iso_5_len_2811_ver_2;PF00227.19;5,92;5,73;5,92;5,28;5,75;5,70;5,85;6,32;4,87
gba_locus_17680_iso_1_len_1533_ver_2;not hit found;3,21;3,27;3,38;2,41;2,88;2,22;2,56;3,34;2,29
gba_locus_17681_iso_1_len_806_ver_2;not hit found;0,93;0,00;3,32;-0,35;1,52;2,56;1,68;0,00;0,00
gba_locus_17683_iso_1_len_1493_ver_2;not hit found;6,76;7,65;6,44;7,70;7,47;1,46;1,33;5,51;4,82
gba_locus_17684_iso_1_len_2020_ver_2;PF00933.14;6,83;3,01;4,03;1,77;2,61;1,79;1,33;2,12;5,47
gba_locus_17685_iso_1_len_542_ver_2;not hit found;1,76;0,47;1,81;0,60;4,15;1,01;1,25;1,81;0,00
gba_locus_17687_iso_1_len_337_ver_2;not hit found;2,70;1,72;3,46;0,00;4,64;1,84;1,69;2,39;0,00
gba_locus_17688_iso_2_len_338_ver_2;PF01535.13;1,41;1,45;1,63;1,28;2,23;2,66;2,07;2,62;3,41
gba_locus_17689_iso_1_len_1090_ver_2;PF01535.13;0,66;0,87;1,13;0,44;1,01;0,62;-0,61;0,45;1,75
gba_locus_1768_iso_1_len_1705_ver_2;PF01535.13;0,59;1,95;1,69;-0,17;1,40;1,37;1,91;2,32;1,45
gba_locus_17690_iso_1_len_409_ver_2;not hit found;1,07;1,23;2,29;0,00;2,45;0,00;1,38;1,83;0,00
gba_locus_17691_iso_1_len_1399_ver_2;not hit found;3,70;4,58;4,73;4,16;4,08;3,48;3,48;3,56;6,02
gba_locus_17693_iso_1_len_406_ver_2;not hit found;0,00;0,00;0,80;0,00;0,00;1,07;0,00;0,00;0,00
gba_locus_17694_iso_1_len_266_ver_2;not hit found;6,79;3,14;4,07;2,17;3,41;9,97;9,76;5,22;8,21
gba_locus_17697_iso_1_len_401_ver_2;not hit found;0,80;0,00;0,93;0,00;0,00;1,09;1,41;0,00;0,00
gba_locus_17698_iso_1_len_1159_ver_2;PF02861.13;1,98;3,28;2,63;2,34;3,08;2,61;2,23;2,87;2,22
gba_locus_17699_iso_1_len_1038_ver_2;not hit found;2,63;4,20;3,91;2,28;3,69;1,43;1,27;3,99;4,58
gba_locus_1769_iso_8_len_1598_ver_2;PF01370.14;5,95;5,51;5,61;5,17;5,77;6,47;6,66;4,96;4,49
gba_locus_176_iso_5_len_3840_ver_2;PF04801.6;4,12;4,76;4,34;3,90;3,97;4,12;4,16;4,13;5,56
gba_locus_17700_iso_1_len_2353_ver_2;PF01926.16;3,16;3,90;3,40;2,96;2,85;3,16;2,46;3,01;2,80
gba_locus_17703_iso_2_len_1661_ver_2;PF00459.18;4,67;5,32;4,69;4,50;3,96;4,19;3,94;4,72;3,30
gba_locus_17705_iso_1_len_1235_ver_2;not hit found;1,20;-0,11;1,33;1,80;1,09;1,96;-0,48;0,09;0,54
gba_locus_17707_iso_1_len_417_ver_2;not hit found;8,82;8,10;7,99;7,72;7,36;7,50;6,19;8,39;6,15
gba_locus_17708_iso_2_len_2548_ver_2;PF00026.16;0,00;0,00;0,00;5,76;0,00;0,00;0,00;3,14;2,38
gba_locus_17709_iso_1_len_2610_ver_2;PF08676.4;1,18;1,82;2,06;0,49;2,26;0,62;1,47;1,54;2,60
gba_locus_1770_iso_1_len_2117_ver_2;PF01490.11;6,07;5,62;5,73;5,28;5,78;6,07;4,93;4,81;4,27
gba_locus_17710_iso_1_len_2072_ver_2;PF04720.5;4,44;3,76;1,64;-1,13;-0,49;2,94;2,73;2,32;4,15
gba_locus_17711_iso_1_len_2740_ver_2;PF03121.8;1,45;1,43;1,05;0,55;0,47;0,00;-0,35;1,46;4,62
gba_locus_17712_iso_2_len_1389_ver_2;not hit found;2,57;5,06;4,67;5,52;4,02;2,63;1,96;2,81;1,65
gba_locus_17713_iso_1_len_544_ver_2;PF00282.12;1,71;0,69;1,57;0,00;0,00;3,12;2,52;0,39;1,05
gba_locus_17714_iso_3_len_1295_ver_2;PF03061.15;3,18;2,44;2,40;1,85;2,04;3,22;3,31;3,14;3,37
gba_locus_17715_iso_1_len_437_ver_2;not hit found;5,38;6,17;5,04;5,05;4,54;4,59;3,88;4,76;8,89
gba_locus_17716_iso_1_len_2702_ver_2;not hit found;3,01;3,61;3,47;2,27;3,39;2,62;2,53;3,19;3,22
gba_locus_17717_iso_1_len_714_ver_2;not hit found;-0,20;0,00;0,43;0,00;0,00;0,31;1,34;0,48;0,25
gba_locus_17718_iso_4_len_858_ver_2;PF01535.13;0,18;1,05;1,07;-0,15;1,42;2,04;2,22;2,29;1,40
gba_locus_17719_iso_1_len_499_ver_2;not hit found;1,40;0,34;0,80;0,00;0,87;1,63;2,11;0,00;0,00
gba_locus_1771_iso_1_len_1870_ver_2;PF00988.15;5,52;6,12;5,61;5,41;5,25;6,17;6,21;5,87;4,46
gba_locus_17721_iso_1_len_1263_ver_2;PF00436.18;3,84;3,75;3,86;2,85;3,21;3,95;3,89;2,94;3,09
gba_locus_17722_iso_1_len_1256_ver_2;not hit found;2,01;2,29;2,76;1,28;2,06;1,21;2,11;2,20;1,29
gba_locus_17723_iso_1_len_1870_ver_2;PF00646.26;3,43;3,54;2,98;3,68;4,11;3,57;3,05;3,54;5,50
gba_locus_17724_iso_1_len_1054_ver_2;not hit found;2,10;1,24;1,57;0,54;1,17;1,70;1,58;1,01;0,36
gba_locus_17725_iso_1_len_3951_ver_2;PF02463.12;2,75;3,13;2,81;2,18;3,21;2,59;2,56;3,30;3,72
gba_locus_17726_iso_1_len_343_ver_2;not hit found;0,81;0,00;1,07;0,00;1,60;0,00;0,00;0,00;0,00
gba_locus_17728_iso_1_len_745_ver_2;PF00097.18;1,57;0,79;0,45;2,92;1,26;1,68;0,28;0,91;2,13
gba_locus_17729_iso_4_len_1685_ver_2;not hit found;3,31;3,94;3,74;1,99;2,65;2,66;2,69;2,43;3,40
gba_locus_1772_iso_1_len_1289_ver_2;not hit found;2,80;2,21;1,80;2,39;2,27;1,75;1,64;3,00;3,42
gba_locus_17730_iso_1_len_728_ver_2;not hit found;2,06;2,50;2,79;0,34;1,67;1,68;1,69;1,85;1,17
gba_locus_17731_iso_1_len_470_ver_2;PF09713.3;2,98;0,00;0,00;1,10;0,00;3,35;2,66;0,49;0,78
gba_locus_17732_iso_1_len_1255_ver_2;PF00400.25;2,20;0,87;1,89;1,20;1,24;0,61;0,59;1,61;1,96
gba_locus_17733_iso_1_len_1163_ver_2;PF00069.18;1,48;1,88;1,72;-0,19;0,27;2,56;2,52;2,24;2,67
gba_locus_17734_iso_1_len_1055_ver_2;PF02176.11;0,67;0,69;0,84;2,54;2,52;2,16;0,60;-0,50;0,05
gba_locus_17737_iso_1_len_538_ver_2;not hit found;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,98
gba_locus_17738_iso_1_len_1019_ver_2;not hit found;1,20;0,97;1,06;0,00;0,71;0,00;0,00;1,06;0,00
gba_locus_17739_iso_1_len_2758_ver_2;PF01535.13;1,72;2,10;2,27;1,47;1,63;2,37;2,51;2,40;2,18
gba_locus_1773_iso_6_len_2380_ver_2;PF00224.14;6,14;5,94;5,81;6,18;6,18;5,08;5,27;5,84;6,47
gba_locus_17740_iso_1_len_1822_ver_2;PF00615.12;2,60;2,67;2,71;2,08;2,31;1,13;1,71;2,85;2,85
gba_locus_17742_iso_2_len_774_ver_2;not hit found;2,67;3,78;5,06;1,42;3,49;2,44;0,84;0,00;0,00
gba_locus_17743_iso_1_len_1157_ver_2;PF03105.12;2,50;2,43;2,87;0,86;1,92;2,66;3,33;0,00;2,15
gba_locus_17744_iso_1_len_1543_ver_2;PF03171.13;3,62;4,19;3,58;3,86;4,01;2,78;2,80;2,82;3,58
gba_locus_17746_iso_1_len_988_ver_2;not hit found;1,28;1,02;1,41;-0,53;0,42;-0,08;0,75;0,60;0,00
gba_locus_17747_iso_1_len_2485_ver_2;PF00350.16;2,07;3,55;3,09;1,78;2,63;0,35;0,42;3,58;2,14
gba_locus_17748_iso_1_len_1704_ver_2;PF08449.4;3,28;2,94;3,52;2,99;3,80;2,30;2,77;2,68;1,76
gba_locus_17749_iso_1_len_1063_ver_2;PF00847.13;3,74;3,92;1,94;5,83;3,25;3,56;2,71;3,45;2,79
gba_locus_1774_iso_3_len_1866_ver_2;PF02492.12;6,20;5,65;5,64;5,14;4,95;8,41;8,29;5,49;6,73
gba_locus_17750_iso_1_len_295_ver_2;not hit found;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
gba_locus_17751_iso_1_len_867_ver_2;PF05498.4;4,63;4,23;5,05;4,36;4,24;2,56;2,17;5,19;3,45
gba_locus_17752_iso_1_len_404_ver_2;not hit found;1,73;1,15;3,29;0,95;0,00;0,00;1,90;0,00;0,75
gba_locus_17753_iso_3_len_1142_ver_2;PF00076.15;4,08;4,68;3,92;3,75;3,65;3,86;3,53;2,99;4,59
gba_locus_17754_iso_1_len_1306_ver_2;not hit found;1,03;1,29;1,69;0,00;-0,09;2,14;2,67;-0,12;1,20
gba_locus_1775_iso_1_len_1741_ver_2;PF11891.1;5,43;4,54;5,40;3,61;4,85;7,30;7,70;5,82;3,06
gba_locus_17760_iso_1_len_635_ver_2;not hit found;1,75;0,00;3,08;0,00;0,99;1,20;1,47;0,00;0,00
gba_locus_17762_iso_1_len_2052_ver_2;not hit found;2,58;2,68;2,45;2,85;2,67;2,02;2,15;2,55;1,15
gba_locus_17764_iso_2_len_541_ver_2;not hit found;3,14;2,02;3,52;2,55;5,82;2,64;3,09;3,57;1,40
gba_locus_17766_iso_1_len_1231_ver_2;PF00645.11;0,00;1,53;0,62;1,53;1,32;0,00;0,00;0,00;3,56
gba_locus_17769_iso_4_len_2051_ver_2;PF01535.13;0,46;0,85;0,80;0,68;0,91;1,01;1,07;1,44;1,55
gba_locus_1776_iso_1_len_319_ver_2;not hit found;0,00;0,00;0,00;0,00;0,00;0,00;1,28;0,00;0,00
gba_locus_17771_iso_1_len_371_ver_2;not hit found;0,00;0,00;0,00;0,00;0,00;0,97;1,15;0,00;0,00
gba_locus_17774_iso_1_len_695_ver_2;not hit found;-0,16;2,36;1,29;0,93;0,00;0,00;0,18;0,34;2,82
gba_locus_17775_iso_1_len_677_ver_2;not hit found;0,38;0,45;0,75;0,00;0,00;0,00;0,00;0,00;1,09
gba_locus_17776_iso_1_len_628_ver_2;PF10075.2;0,65;0,00;0,45;0,00;0,00;0,00;0,09;0,00;0,07
gba_locus_17778_iso_1_len_2774_ver_2;PF00652.15;2,08;0,13;0,87;3,25;4,20;2,30;0,88;0,51;-1,00
gba_locus_17779_iso_1_len_1955_ver_2;PF01535.13;1,02;1,25;2,01;0,54;1,41;1,36;2,08;1,80;1,48
gba_locus_1777_iso_3_len_2104_ver_2;PF05368.6;4,92;3,33;3,91;3,26;2,65;5,93;6,34;3,52;2,41
gba_locus_17780_iso_1_len_2188_ver_2;PF02018.10;4,56;6,19;6,14;5,36;5,08;1,99;2,59;2,56;1,06
gba_locus_17781_iso_1_len_607_ver_2;not hit found;0,16;0,17;0,91;1,01;1,06;0,33;0,68;1,59;0,26
gba_locus_17782_iso_1_len_318_ver_2;not hit found;0,79;0,00;1,85;0,95;2,35;1,15;1,02;1,51;0,00
gba_locus_17785_iso_1_len_379_ver_2;not hit found;7,54;0,00;4,72;2,78;4,49;6,30;6,09;5,40;3,26
gba_locus_17786_iso_1_len_864_ver_2;not hit found;2,54;2,18;4,32;2,78;4,57;2,70;1,64;0,27;0,00
gba_locus_17787_iso_1_len_1241_ver_2;PF00160.14;2,18;2,67;2,55;1,97;2,22;1,92;2,22;1,75;0,25
gba_locus_17788_iso_1_len_2707_ver_2;PF04842.5;3,55;4,40;3,88;3,12;3,50;3,05;3,03;4,03;3,83
gba_locus_17789_iso_1_len_262_ver_2;PF01535.13;0,00;0,00;1,27;0,00;0,00;1,82;0,00;1,87;1,71
gba_locus_1778_iso_2_len_5197_ver_2;PF00773.12;2,98;2,74;3,24;1,72;3,27;3,05;3,24;3,94;4,22
gba_locus_17790_iso_1_len_2091_ver_2;PF00226.24;2,31;3,11;2,91;3,22;2,37;2,23;2,64;2,64;3,11
gba_locus_17791_iso_3_len_362_ver_2;not hit found;0,58;0,00;1,27;0,00;0,00;1,67;2,49;0,51;1,27
